"Flashes","WL XCS","Pwr (Ws)","Modelling Lamp (W)","Modelling Lamp Type","Min Pwr (1/n)","Max Recycle Time (ms)","Min Recycle Time (ms)","Status"
"F200","No","200","150","Halogen Bulb","8","2000","400","EOL"
"F250","No","200","150","Halogen Bulb","8","2000","400","EOL"
"F300","No","300","150","Halogen Bulb","8","2000","400","EOL"
"F400","No","400","150","Halogen Bulb","8","2000","400","EOL"
"F600","No","600","150","Halogen Bulb","8","2000","400","EOL"
"F800","No","800","150","Halogen Bulb","8","2000","400","EOL"
"F1000","No","1000","150","Halogen Bulb","8","2000","400","EOL"
"TC300","No","300","150","Halogen Bulb","16","2000","400","EOL"
"TC400","No","400","150","Halogen Bulb","16","2000","400","EOL"
"TC600","No","600","150","Halogen Bulb","16","2000","400","EOL"
"D200","No","200","150","Halogen Bulb","Analogue","2000","400","EOL"
"D300","No","300","150","Halogen Bulb","Analogue","2000","400","EOL"
"D400","No","400","150","Halogen Bulb","Analogue","2000","400","EOL"
"D500","No","500","150","Halogen Bulb","Analogue","2000","400","EOL"
"D600","No","600","150","Halogen Bulb","Analogue","2000","400","EOL"
"D800","No","800","150","Halogen Bulb","Analogue","2000","400","EOL"
"D1000","No","1000","150","Halogen Bulb","Analogue","2000","400","EOL"
"Mini Master 160DI","No","160","75","Halogen Bulb","8","3000","500","EOL"
"Mini Master 250DI","No","250","75","Halogen Bulb","8","3000","500","EOL"
"Mini Master K-150A","No","150","75","Halogen Bulb","8","3000","500","EOL"
"Mini Master K-180A","No","180","75","Halogen Bulb","8","3000","500","EOL"
"Mini Pioneer 120","No","120","75","Halogen Bulb","8","3000","500","EOL"
"Mini Pioneer 160","No","160","75","Halogen Bulb","8","3000","500","EOL"
"Mini Pioneer 200","No","200","75","Halogen Bulb","8","3000","500","EOL"
"Mini Pioneer 250DI","No","250","75","Halogen Bulb","8","4000(115VAC)/2000(230VAC)","500","EOL"
"Mini Pioneer 300DI","No","300","75","Halogen Bulb","8","4000(115VAC)/2000(230VAC)","500","EOL"
"Smart 120SDI","No","120","75","Halogen Bulb","128","2000","500","EOL"
"Smart 160SDI","No","160","75","Halogen Bulb","128","2000","500","EOL"
"Smart 250SDI","No","250","75","Halogen Bulb","128","2000","500","EOL"
"Smart 300SDI","No","300","75","Halogen Bulb","128","2000","500","EOL"
