"Flashes","Pwr","WL XCS","Battery","TTL","HSS","AF Assist","Modelling Lamp (mW)","Min Pwr (1/n)","CHs","Grps","Ext Pwr","FW Up","Remarks"
"iM20","?","No","Built-in Li-ion","No","No","No","0","16","0","0","No","No",""
"iT20","?","No","Built-in Li-ion","No","No","No","0","32","0","0","No","No",""
"iM22","?","No","Built-in Li-ion","No","No","No","0","16","0","0","No","No",""
"iT22","?","No","Built-in Li-ion","No","No","No","0","32","0","0","No","No",""
"iM30","GN15","No","2x AAA","No","No","No","0","64","0","0","No","No",""
"iT30Pro","GN15","Yes, Built-In","Built-in Li-ion","Yes","Yes","No","0","128","32","3","No","Yes",""
"iA32","GN15","No","2x AA","No","No","No","0","128","0","0","No","No",""
"TT520","GN33","No","4x AA","No","No","No","0","128","0","0","No","No","EOL"
"TT520II","GN33","No (Analog 433MHz)","4x AA","No","No","No","0","128","16","0","No","No",""
"TT520III","GN33","No (Analog 433MHz)","4x AA","No","No","No","0","128","16","0","No","No",""
"TT560","GN38","No","4x AA","No","No","No","0","128","0","0","No","No","EOL"
"TT560II","GN38","No (Analog 433MHz)","4x AA","No","No","No","0","128","16","0","No","No",""
"TT660","GN58","No","4x AA","No","No","No","0","128","0","0","No","No","EOL"
"TT660II","GN58","No","4x AA","No","Mounted on CellsII Only","No","0","128","0","0","Yes","No","EOL"
"TT680","GN58","No","4x AA","Yes","Yes","Yes","0","128","0","0","Yes","Yes","EOL"
"Lux Junior","GN12","No","2x AAA","No","No","No","0","64","0","0","No","No",""
"Lux Senior","GN14","No","Built-in Li-ion","No","No","No","0","64","0","0","No","No",""
"Lux Elf","GN6","No","Built-in Li-ion","No","No","No","0","16","0","0","No","No",""
"Lux Cadet","GN10","No","Built-in Li-ion","No","No","No","0","64","0","0","No","No",""
"TT350","GN36","Yes, Built-In","2x AA","Yes","Yes","Yes","0","128","16","3","No","Yes",""
"TT585","GN60","Yes, Built-In","4x AA","Yes","Yes","Yes","0","128","32","3","Yes","Yes","EOL"
"TT600","GN60","Yes, Built-In","4x AA","No","Radio Slave Only","Yes","0","128","32","5","Yes","No",""
"TT685","GN60","Yes, Built-In","4x AA","Yes","Yes","Yes","0","128","32","3","Yes","Yes","Discontinued"
"TT685II","GN60","Yes, Built-In","4x AA","Yes","Yes","Yes","0","256","32","4","Yes","Yes",""
"V350","GN36","Yes, Built-In","1x VB22/VB20","Yes","Yes","Yes","0","128","16","3","No","Yes",""
"V480","GN50","Yes, Built-In","1x VB22/VB20","Yes","Yes","Yes","2000","256","32","4","No","Yes",""
"V850","GN58","Yes, Using XTR16S","1x VB18","No","Radio Slave Only","Yes","0","128","16","16","No","No","EOL"
"V850II","GN60","Yes, Built-In","1x VB18","No","Radio Slave Only","Yes","0","128","32","5","No","No","Discontinued"
"V850III","76Ws/GN60","Yes, Built-In","1x VB30/VB26(A/B)/WB100(A/B)","No","Radio Slave Only","Yes","0","128","32","5","No","No",""
"V860","GN58","Yes, Using XTR16S","1x VB18","Yes","Yes","Yes","0","128","16","16","No","Yes","EOL"
"V860II","GN60","Yes, Built-In","1x VB18","Yes","Yes","Yes","0","128","32","3","No","Yes","Discontinued"
"V860III","76Ws/GN60","Yes, Built-In","1x VB30/VB26(A/B)/WB100(A/B)","Yes","Yes","Yes","2000","128","32","5","No","Yes",""
"V1","76Ws","Yes, Built-In","1x VB30/VB26(A/B)/WB100(A/B)","Yes","Yes","Yes","2000","256","32","5","No","Yes",""
"V1Pro","76Ws","Yes, Built-In","1x VB30/VB26(A/B)/WB100(A/B)","Yes","Yes","Yes","2000","256","32","5","Yes","Yes",""
"V100","100Ws","Yes, Built-In","1x VB30/VB26(A/B)/WB100(A/B)","Yes","Yes","Yes","2000","256","32","5","Yes","Yes",""
"AD180","180Ws/GN60","Yes, Using XTR16","1x PB820/PB960","No","Radio Slave Only","Yes","0","128","16","16","Yes","No","EOL"
"AD360","360Ws/GN80","Yes, Using XTR16","1x PB820/PB960","No","Radio Slave Only","Yes","0","128","16","16","Yes","No","EOL"
"AD360II","GN80","Yes, Built-In","1x PB820/PB960","Yes","Yes","Yes","0","128","32","3","Yes","Yes","EOL"
"Neewer Z2 Pro","76Ws","Yes, Built-In, RX Only","1x NB-Z1 (PRO)","Yes","Yes","Yes","2000","256","32","4","No","Yes","3rd Party, Compatible by enabling RX Compat in flash settings menu"
