"Flashes","WL XCS","Pwr (Ws)","Modelling Lamp (W)","Modelling Lamp Type","Min Pwr (1/n)","Max Recycle Time (ms)","Min Recycle Time (ms)","CHs","Grps","ID","FW Up","Status"
"E120","Yes, Using XTR16","120","75","Halogen Bulb","8","2000","300","16","16","No","No","EOL"
"E160","Yes, Using XTR16","160","75","Halogen Bulb","8","2000","300","16","16","No","No","EOL"
"E250","Yes, Using XTR16","250","75","Halogen Bulb","8","2500","400","16","16","No","No",""
"E300","Yes, Using XTR16","300","75","Halogen Bulb","8","2500","400","16","16","No","No",""
"MS200","Yes, Built-In","200","150","Halogen Bulb","32","1800(115VAC)/1300(230VAC)","100","32","16","No","No",""
"MS300","Yes, Built-In","300","150","Halogen Bulb","32","1800(115VAC)/1300(230VAC)","100","32","16","No","No",""
"MS200V","Yes, Built-In","200","10","LED COB","32","1800(115VAC)/1300(230VAC)","100","32","16","No","No",""
"MS300V","Yes, Built-In","300","10","LED COB","32","1800(115VAC)/1300(230VAC)","100","32","16","No","No",""
"SK300","Yes, Using XTR16","300","150","Halogen Bulb","8","2500","400","16","16","No","No","EOL"
"SK400","Yes, Using XTR16","400","150","Halogen Bulb","8","3000","400","16","16","No","No","EOL"
"SK300II","Yes, Built-In","300","150","Halogen Bulb","16","1500","100","32","16","No","No",""
"SK400II","Yes, Built-In","400","150","Halogen Bulb","16","1500","100","32","16","No","No",""
"SK300IIV","Yes, Built-In","300","10","LED COB","16","1500","100","32","16","No","No",""
"SK400IIV","Yes, Built-In","400","10","LED COB","16","1500","100","32","16","No","No",""
"SG400IIV","Yes, Built-In","400","10","LED COB","16","1500","100","32","16","No","No",""
"DE200","Yes, Using XTR16","200","150","Halogen Bulb","16","1200","300","16","16","No","No","EOL"
"DE300","Yes, Using XTR16","300","150","Halogen Bulb","16","1500","300","16","16","No","No","EOL"
"DE400","Yes, Using XTR16","400","150","Halogen Bulb","16","1200","300","16","16","No","No","EOL"
