"Flashes","Pwr","WL QCS","Battery","TTL","HSS","AF Assist","Modelling Lamp (mW)","Min Pwr (1/n)","CHs","Grps","ID","Ext Pwr","FW Up","Remarks"
"Z2 Pro","76Ws","Yes, Built-In","1x NB-Z1 (PRO)","Yes","Yes","Yes","2000","256","32","5","Yes","No","Yes",""
"Z2","76Ws","Yes, Built-In","1x NB-Z1 (PRO)","Yes","Yes","Yes","2000","256","32","5","Yes","No","Yes",""
"Z1","76Ws","Yes, Built-In","1x NB-Z1 (PRO)","Yes","Yes","Yes","2000","256","32","5","Yes","No","Yes",""
"Z880","76Ws","Yes, Built-In","1x NB-Z1 (PRO)","Yes","Yes","Yes","2000","256","32","5","Yes","No","Yes",""
"Z760","76Ws","Yes, Built-In","1x NB-Z1 (PRO)","Yes","Yes","No","0","256","32","5","Yes","No","Yes",""
"NW760","76Ws","Yes, Built-In","4x AA","Yes","Yes","Yes","0","256","32","5","Yes","No","Yes",""
"NW750II","GN58","No","4x AA","Yes","No","No","0","128","0","0","No","Yes","No",""
"NW700","GN60","No","4x AA","Yes","Yes","No","0","256","0","0","No","No","Yes",""
"NW670","GN58","No","4x AA","Yes","No","No","0","128","0","0","No","Yes","No",""
"NW655","GN60","No","4x AA","Yes","Yes","No","0","128","32","3","Yes","No","Yes",""
"NW645II","GN58","No","4x AA","Yes","Yes","No","0","128","0","0","No","Yes","No",""
"NW635II","GN58","No","4x AA","Yes","No","No","0","128","0","0","No","Yes","No",""
"NW420","GN36","Yes, Built-In","2x AA","Yes","Yes","No","0","128","32","3","Yes","No","Yes",""
"Z160","GN14","No","Built-In 1.1Ah Lithium","No","No","Yes","500","128","0","0","Yes","No","No",""
