"Receivers","Odin II","Odin Lite","Odin","Ares II","Ares","Strato II","Strato","Atlas II","Atlas","Mitros+","Juno","Juno Li60","Juno TTL"
"Odin II","Yes","","Yes","","No","","","","No","Yes","","","Yes"
"Odin","Yes","","Yes","","No","No","No","No","No","Yes","","",""
"Ares II","Yes","Yes","Yes","Yes","No","Yes","","","No","Yes","","",""
"Ares","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Strato II","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","","",""
"Strato","Yes","Yes","No","","No","No","Yes","No","No","No","","",""
"Atlas II","Yes","","Yes","","No","Yes","Yes","Yes","No","Yes","","",""
"Atlas","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
"Mitros+","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","","",""
"Juno","","Yes","","","No","","","","No","","","",""
"Juno Li60","Yes","","","","No","","","","No","","","Yes","Yes"
"Juno TTL","Yes","","","","No","","","","No","","","Yes","Yes"
"Indra360TTL","Yes","Yes","","Yes","No","","","","No","","","Yes","Yes"
"Indra500TTL","Yes","Yes","","Yes","No","","","","No","","","Yes","Yes"
"Indra500IITTL","Yes","","","","","","","","No","","","Yes","Yes"
